UnknownText_0x198a69:	;;No.00713 [D:0x00121F56] [L:76]
	text "이곳은 탑이 낡아서"
	line "쓰러질 것 처럼 된 것을"
	cont "최신 라디오 방송국으로 만들었단다"
	done
	
	
	
UnknownText_0x198aa9:	;;No.00714 [D:0x00121FA3] [L:72]
	text "자전거 가게가 새로 생겼는데"
	line "어디에 있지?"
	cont "전혀 어디 있는지 찾을 수 없네"
	done
	
	
	
UnknownText_0x198ae6:	;;No.00715 [D:0x00121FEC] [L:72]
	text "그 검은색 투성의 사람들"
	line "로켓단의 흉내를 내고 있는걸까?"
	cont "괴상한 사람들!"
	done
	
	
	
UnknownText_0x198b2d:	;;No.00716 [D:0x00122035] [L:65]
	text "그 검은색 투성의 사람들"
	line "정말 로켓단이었어?"
	cont "지금도 믿지 못하겠네"
	done
	
	
	
UnknownText_0x198b73:	;;No.00717 [D:0x00122077] [L:108]
	text "금빛시티라고 하면 라디오타워"
	
	para "지금이라면 캠페인에서"
	line "포켓기어로 라디오를 들을 수 있게"
	cont "서비스를 받을 수 있데!"
	done
	
	
	
	
	
	
	
	
	
UnknownText_0x198c14:	;;No.00718 [D:0x001220E4] [L:45]
	text "와아 너의 포켓기어"
	line "라디오를 들을 수 있구나!"
	done
	
UnknownText_0x198c36:	;;No.00719 [D:0x00122112] [L:59]
	text "헤헤헤……"
	line "백화점의 지하 창고에서"
	cont "숨바꼭질을 하다가 혼났어"
	done
	
	
	
	
	
UnknownText_0x198c83:	;;No.00720 [D:0x0012214E] [L:95]
	text "그쪽 집에서"
	line "포켓몬의 이름으로"
	cont "점을 쳐준단다"
	
	para "포켓몬에게 좋은 이름을"
	line "다시 지어주는 것도 가능하데"
	done
	
UnknownText_0x198ccf:	;;No.00721 [D:0x001221AE] [L:68]
	text "그런데 엄청 큰 마을이구나!"
	line "너무 넓어서 무엇이 있나"
	cont "전혀 모르겠구나"
	done
	
	
	
UnknownText_0x198d0d:	;;No.00722 [D:0x001221F3] [L:26]
	text "여기가 라디오타워인가……"
	done
	
	
UnknownText_0x198d2a:	;;No.00723 [D:0x0012220E] [L:25]
	text "뭐야 임마 너 저리 꺼져!"
	done
	
	
